_id,year,quarter,region,area,value,unit,source
26,2561,ไตรมาส 2,ทั่วประเทศ,รวม,411.15,พันคน,สำนักงานสถิติแห่งชาติ
27,2561,ไตรมาส 3,ทั่วประเทศ,รวม,373.45,พันคน,สำนักงานสถิติแห่งชาติ
28,2561,ไตรมาส 4,ทั่วประเทศ,รวม,358.77,พันคน,สำนักงานสถิติแห่งชาติ
29,2562,ไตรมาส 1,ทั่วประเทศ,รวม,351.16,พันคน,สำนักงานสถิติแห่งชาติ
30,2562,ไตรมาส 2,ทั่วประเทศ,รวม,376.93,พันคน,สำนักงานสถิติแห่งชาติ
31,2562,ไตรมาส 3,ทั่วประเทศ,รวม,394.03,พันคน,สำนักงานสถิติแห่งชาติ
32,2562,ไตรมาส 4,ทั่วประเทศ,รวม,371.48,พันคน,สำนักงานสถิติแห่งชาติ
33,2563,ไตรมาส 1,ทั่วประเทศ,รวม,394.52,พันคน,สำนักงานสถิติแห่งชาติ
34,2563,ไตรมาส 2,ทั่วประเทศ,รวม,745.18,พันคน,สำนักงานสถิติแห่งชาติ
35,2563,ไตรมาส 3,ทั่วประเทศ,รวม,737.65,พันคน,สำนักงานสถิติแห่งชาติ
36,2563,ไตรมาส 4,ทั่วประเทศ,รวม,727.05,พันคน,สำนักงานสถิติแห่งชาติ
37,2555,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,91.40,พันคน,สำนักงานสถิติแห่งชาติ
38,2555,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,114.75,พันคน,สำนักงานสถิติแห่งชาติ
39,2555,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,91.70,พันคน,สำนักงานสถิติแห่งชาติ
40,2555,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,79.30,พันคน,สำนักงานสถิติแห่งชาติ
41,2556,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,96.54,พันคน,สำนักงานสถิติแห่งชาติ
42,2556,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,101.46,พันคน,สำนักงานสถิติแห่งชาติ
43,2556,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,117.88,พันคน,สำนักงานสถิติแห่งชาติ
44,2556,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,98.54,พันคน,สำนักงานสถิติแห่งชาติ
45,2557,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,152.40,พันคน,สำนักงานสถิติแห่งชาติ
46,2557,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,184.43,พันคน,สำนักงานสถิติแห่งชาติ
47,2557,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,146.76,พันคน,สำนักงานสถิติแห่งชาติ
48,2557,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,118.19,พันคน,สำนักงานสถิติแห่งชาติ
49,2558,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,164.73,พันคน,สำนักงานสถิติแห่งชาติ
50,2558,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,167.51,พันคน,สำนักงานสถิติแห่งชาติ
51,2558,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,168.80,พันคน,สำนักงานสถิติแห่งชาติ
52,2558,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,143.25,พันคน,สำนักงานสถิติแห่งชาติ
53,2559,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,175.17,พันคน,สำนักงานสถิติแห่งชาติ
54,2559,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,192.28,พันคน,สำนักงานสถิติแห่งชาติ
55,2559,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,170.49,พันคน,สำนักงานสถิติแห่งชาติ
56,2559,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,175.70,พันคน,สำนักงานสถิติแห่งชาติ
57,2560,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,202.03,พันคน,สำนักงานสถิติแห่งชาติ
58,2560,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,216.31,พันคน,สำนักงานสถิติแห่งชาติ
59,2560,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,195.00,พันคน,สำนักงานสถิติแห่งชาติ
60,2561,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,210.16,พันคน,สำนักงานสถิติแห่งชาติ
61,2561,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,184.22,พันคน,สำนักงานสถิติแห่งชาติ
62,2561,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,184.58,พันคน,สำนักงานสถิติแห่งชาติ
63,2561,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,157.23,พันคน,สำนักงานสถิติแห่งชาติ
64,2562,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,158.71,พันคน,สำนักงานสถิติแห่งชาติ
65,2562,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,171.87,พันคน,สำนักงานสถิติแห่งชาติ
66,2562,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,202.64,พันคน,สำนักงานสถิติแห่งชาติ
67,2562,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,141.97,พันคน,สำนักงานสถิติแห่งชาติ
68,2563,ไตรมาส 1,ทั่วประเทศ,ในเขตเทศบาล,171.28,พันคน,สำนักงานสถิติแห่งชาติ
69,2563,ไตรมาส 2,ทั่วประเทศ,ในเขตเทศบาล,360.99,พันคน,สำนักงานสถิติแห่งชาติ
70,2563,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,369.37,พันคน,สำนักงานสถิติแห่งชาติ
71,2563,ไตรมาส 4,ทั่วประเทศ,ในเขตเทศบาล,370.83,พันคน,สำนักงานสถิติแห่งชาติ
72,2555,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,187.75,พันคน,สำนักงานสถิติแห่งชาติ
73,2555,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,223.65,พันคน,สำนักงานสถิติแห่งชาติ
74,2555,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,139.10,พันคน,สำนักงานสถิติแห่งชาติ
75,2555,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,108.70,พันคน,สำนักงานสถิติแห่งชาติ
76,2556,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,183.91,พันคน,สำนักงานสถิติแห่งชาติ
77,2556,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,190.67,พันคน,สำนักงานสถิติแห่งชาติ
78,2556,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,187.73,พันคน,สำนักงานสถิติแห่งชาติ
79,2556,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,157.35,พันคน,สำนักงานสถิติแห่งชาติ
80,2557,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,188.72,พันคน,สำนักงานสถิติแห่งชาติ
81,2557,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,201.27,พันคน,สำนักงานสถิติแห่งชาติ
82,2557,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,179.86,พันคน,สำนักงานสถิติแห่งชาติ
83,2557,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,119.08,พันคน,สำนักงานสถิติแห่งชาติ
84,2558,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,196.56,พันคน,สำนักงานสถิติแห่งชาติ
85,2558,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,168.58,พันคน,สำนักงานสถิติแห่งชาติ
86,2558,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,187.22,พันคน,สำนักงานสถิติแห่งชาติ
87,2558,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,165.59,พันคน,สำนักงานสถิติแห่งชาติ
88,2559,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,194.72,พันคน,สำนักงานสถิติแห่งชาติ
89,2559,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,218.84,พันคน,สำนักงานสถิติแห่งชาติ
90,2559,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,192.02,พันคน,สำนักงานสถิติแห่งชาติ
91,2559,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,190.60,พันคน,สำนักงานสถิติแห่งชาติ
92,2560,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,261.35,พันคน,สำนักงานสถิติแห่งชาติ
93,2560,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,248.67,พันคน,สำนักงานสถิติแห่งชาติ
94,2560,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,247.29,พันคน,สำนักงานสถิติแห่งชาติ
95,2560,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,226.73,พันคน,สำนักงานสถิติแห่งชาติ
96,2561,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,263.61,พันคน,สำนักงานสถิติแห่งชาติ
97,2561,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,226.94,พันคน,สำนักงานสถิติแห่งชาติ
98,2561,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,188.87,พันคน,สำนักงานสถิติแห่งชาติ
99,2561,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,201.54,พันคน,สำนักงานสถิติแห่งชาติ
100,2562,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,192.45,พันคน,สำนักงานสถิติแห่งชาติ
101,2562,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,205.06,พันคน,สำนักงานสถิติแห่งชาติ
102,2562,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,191.39,พันคน,สำนักงานสถิติแห่งชาติ
103,2562,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,229.50,พันคน,สำนักงานสถิติแห่งชาติ
104,2563,ไตรมาส 1,ทั่วประเทศ,นอกเขตเทศบาล,223.24,พันคน,สำนักงานสถิติแห่งชาติ
105,2563,ไตรมาส 2,ทั่วประเทศ,นอกเขตเทศบาล,384.18,พันคน,สำนักงานสถิติแห่งชาติ
106,2563,ไตรมาส 3,ทั่วประเทศ,นอกเขตเทศบาล,368.28,พันคน,สำนักงานสถิติแห่งชาติ
107,2563,ไตรมาส 4,ทั่วประเทศ,นอกเขตเทศบาล,356.22,พันคน,สำนักงานสถิติแห่งชาติ
108,2560,ไตรมาส 3,ทั่วประเทศ,ในเขตเทศบาล,205.30,พันคน,สำนักงานสถิติแห่งชาติ
109,2555,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,28.04,พันคน,สำนักงานสถิติแห่งชาติ
110,2555,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,28.10,พันคน,สำนักงานสถิติแห่งชาติ
111,2555,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,25.70,พันคน,สำนักงานสถิติแห่งชาติ
112,2555,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,17.00,พันคน,สำนักงานสถิติแห่งชาติ
113,2556,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,28.96,พันคน,สำนักงานสถิติแห่งชาติ
114,2556,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,28.20,พันคน,สำนักงานสถิติแห่งชาติ
115,2556,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,30.75,พันคน,สำนักงานสถิติแห่งชาติ
116,2556,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,25.62,พันคน,สำนักงานสถิติแห่งชาติ
117,2557,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,44.92,พันคน,สำนักงานสถิติแห่งชาติ
118,2557,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,48.80,พันคน,สำนักงานสถิติแห่งชาติ
119,2557,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,40.34,พันคน,สำนักงานสถิติแห่งชาติ
120,2557,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,33.80,พันคน,สำนักงานสถิติแห่งชาติ
121,2558,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,57.50,พันคน,สำนักงานสถิติแห่งชาติ
122,2558,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,46.40,พันคน,สำนักงานสถิติแห่งชาติ
123,2558,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,53.60,พันคน,สำนักงานสถิติแห่งชาติ
124,2558,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,47.06,พันคน,สำนักงานสถิติแห่งชาติ
125,2559,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,39.40,พันคน,สำนักงานสถิติแห่งชาติ
126,2559,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,64.60,พันคน,สำนักงานสถิติแห่งชาติ
127,2559,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,45.40,พันคน,สำนักงานสถิติแห่งชาติ
128,2559,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,37.70,พันคน,สำนักงานสถิติแห่งชาติ
129,2560,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,53.15,พันคน,สำนักงานสถิติแห่งชาติ
130,2560,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,65.57,พันคน,สำนักงานสถิติแห่งชาติ
131,2560,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,72.62,พันคน,สำนักงานสถิติแห่งชาติ
132,2560,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,61.76,พันคน,สำนักงานสถิติแห่งชาติ
133,2561,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,62.06,พันคน,สำนักงานสถิติแห่งชาติ
134,2561,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,60.92,พันคน,สำนักงานสถิติแห่งชาติ
135,2561,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,63.84,พันคน,สำนักงานสถิติแห่งชาติ
136,2561,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,38.98,พันคน,สำนักงานสถิติแห่งชาติ
137,2562,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,42.05,พันคน,สำนักงานสถิติแห่งชาติ
138,2562,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,49.73,พันคน,สำนักงานสถิติแห่งชาติ
139,2562,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,61.10,พันคน,สำนักงานสถิติแห่งชาติ
140,2562,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,32.31,พันคน,สำนักงานสถิติแห่งชาติ
141,2563,ไตรมาส 1,กรุงเทพมหานคร,ในเขตเทศบาล,47.87,พันคน,สำนักงานสถิติแห่งชาติ
142,2563,ไตรมาส 2,กรุงเทพมหานคร,ในเขตเทศบาล,90.03,พันคน,สำนักงานสถิติแห่งชาติ
143,2563,ไตรมาส 3,กรุงเทพมหานคร,ในเขตเทศบาล,110.40,พันคน,สำนักงานสถิติแห่งชาติ
144,2563,ไตรมาส 4,กรุงเทพมหานคร,ในเขตเทศบาล,132.05,พันคน,สำนักงานสถิติแห่งชาติ
145,2555,ไตรมาส 1,ภาคกลาง,รวม,63.94,พันคน,สำนักงานสถิติแห่งชาติ
146,2555,ไตรมาส 2,ภาคกลาง,รวม,77.16,พันคน,สำนักงานสถิติแห่งชาติ
147,2555,ไตรมาส 3,ภาคกลาง,รวม,62.30,พันคน,สำนักงานสถิติแห่งชาติ
148,2555,ไตรมาส 4,ภาคกลาง,รวม,58.52,พันคน,สำนักงานสถิติแห่งชาติ
149,2556,ไตรมาส 1,ภาคกลาง,รวม,58.84,พันคน,สำนักงานสถิติแห่งชาติ
150,2556,ไตรมาส 2,ภาคกลาง,รวม,78.70,พันคน,สำนักงานสถิติแห่งชาติ
151,2556,ไตรมาส 3,ภาคกลาง,รวม,80.99,พันคน,สำนักงานสถิติแห่งชาติ
152,2556,ไตรมาส 4,ภาคกลาง,รวม,69.18,พันคน,สำนักงานสถิติแห่งชาติ
153,2557,ไตรมาส 1,ภาคกลาง,รวม,98.56,พันคน,สำนักงานสถิติแห่งชาติ
154,2557,ไตรมาส 2,ภาคกลาง,รวม,125.39,พันคน,สำนักงานสถิติแห่งชาติ
155,2557,ไตรมาส 3,ภาคกลาง,รวม,101.45,พันคน,สำนักงานสถิติแห่งชาติ
156,2557,ไตรมาส 4,ภาคกลาง,รวม,71.83,พันคน,สำนักงานสถิติแห่งชาติ
157,2558,ไตรมาส 1,ภาคกลาง,รวม,119.99,พันคน,สำนักงานสถิติแห่งชาติ
158,2558,ไตรมาส 2,ภาคกลาง,รวม,94.56,พันคน,สำนักงานสถิติแห่งชาติ
159,2558,ไตรมาส 3,ภาคกลาง,รวม,115.34,พันคน,สำนักงานสถิติแห่งชาติ
160,2558,ไตรมาส 4,ภาคกลาง,รวม,103.95,พันคน,สำนักงานสถิติแห่งชาติ
161,2559,ไตรมาส 1,ภาคกลาง,รวม,120.98,พันคน,สำนักงานสถิติแห่งชาติ
162,2559,ไตรมาส 2,ภาคกลาง,รวม,112.41,พันคน,สำนักงานสถิติแห่งชาติ
163,2559,ไตรมาส 3,ภาคกลาง,รวม,112.76,พันคน,สำนักงานสถิติแห่งชาติ
164,2559,ไตรมาส 4,ภาคกลาง,รวม,110.28,พันคน,สำนักงานสถิติแห่งชาติ
165,2560,ไตรมาส 1,ภาคกลาง,รวม,123.18,พันคน,สำนักงานสถิติแห่งชาติ
166,2560,ไตรมาส 2,ภาคกลาง,รวม,130.98,พันคน,สำนักงานสถิติแห่งชาติ
167,2560,ไตรมาส 3,ภาคกลาง,รวม,121.27,พันคน,สำนักงานสถิติแห่งชาติ
168,2560,ไตรมาส 4,ภาคกลาง,รวม,113.55,พันคน,สำนักงานสถิติแห่งชาติ
169,2561,ไตรมาส 1,ภาคกลาง,รวม,131.16,พันคน,สำนักงานสถิติแห่งชาติ
170,2561,ไตรมาส 2,ภาคกลาง,รวม,108.56,พันคน,สำนักงานสถิติแห่งชาติ
171,2561,ไตรมาส 3,ภาคกลาง,รวม,126.29,พันคน,สำนักงานสถิติแห่งชาติ
172,2561,ไตรมาส 4,ภาคกลาง,รวม,119.60,พันคน,สำนักงานสถิติแห่งชาติ
173,2562,ไตรมาส 1,ภาคกลาง,รวม,102.78,พันคน,สำนักงานสถิติแห่งชาติ
174,2562,ไตรมาส 2,ภาคกลาง,รวม,127.40,พันคน,สำนักงานสถิติแห่งชาติ
175,2562,ไตรมาส 3,ภาคกลาง,รวม,137.44,พันคน,สำนักงานสถิติแห่งชาติ
176,2562,ไตรมาส 4,ภาคกลาง,รวม,106.05,พันคน,สำนักงานสถิติแห่งชาติ
177,2563,ไตรมาส 1,ภาคกลาง,รวม,135.34,พันคน,สำนักงานสถิติแห่งชาติ
178,2563,ไตรมาส 2,ภาคกลาง,รวม,245.75,พันคน,สำนักงานสถิติแห่งชาติ
179,2563,ไตรมาส 3,ภาคกลาง,รวม,231.78,พันคน,สำนักงานสถิติแห่งชาติ
180,2563,ไตรมาส 4,ภาคกลาง,รวม,224.49,พันคน,สำนักงานสถิติแห่งชาติ
181,2555,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,26.98,พันคน,สำนักงานสถิติแห่งชาติ
182,2555,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,31.71,พันคน,สำนักงานสถิติแห่งชาติ
183,2555,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,27.70,พันคน,สำนักงานสถิติแห่งชาติ
184,2555,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,24.38,พันคน,สำนักงานสถิติแห่งชาติ
185,2556,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,23.67,พันคน,สำนักงานสถิติแห่งชาติ
186,2556,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,31.43,พันคน,สำนักงานสถิติแห่งชาติ
187,2556,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,28.37,พันคน,สำนักงานสถิติแห่งชาติ
188,2556,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,24.23,พันคน,สำนักงานสถิติแห่งชาติ
189,2557,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,49.68,พันคน,สำนักงานสถิติแห่งชาติ
190,2557,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,69.30,พันคน,สำนักงานสถิติแห่งชาติ
191,2557,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,45.89,พันคน,สำนักงานสถิติแห่งชาติ
192,2557,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,33.84,พันคน,สำนักงานสถิติแห่งชาติ
193,2558,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,51.07,พันคน,สำนักงานสถิติแห่งชาติ
194,2558,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,50.36,พันคน,สำนักงานสถิติแห่งชาติ
195,2558,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,58.23,พันคน,สำนักงานสถิติแห่งชาติ
196,2558,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,50.04,พันคน,สำนักงานสถิติแห่งชาติ
197,2559,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,64.45,พันคน,สำนักงานสถิติแห่งชาติ
198,2559,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,49.00,พันคน,สำนักงานสถิติแห่งชาติ
199,2559,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,51.35,พันคน,สำนักงานสถิติแห่งชาติ
200,2559,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,56.73,พันคน,สำนักงานสถิติแห่งชาติ
201,2560,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,66.74,พันคน,สำนักงานสถิติแห่งชาติ
202,2560,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,62.45,พันคน,สำนักงานสถิติแห่งชาติ
203,2560,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,53.20,พันคน,สำนักงานสถิติแห่งชาติ
204,2560,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,55.31,พันคน,สำนักงานสถิติแห่งชาติ
205,2561,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,58.20,พันคน,สำนักงานสถิติแห่งชาติ
206,2561,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,50.99,พันคน,สำนักงานสถิติแห่งชาติ
207,2561,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,55.53,พันคน,สำนักงานสถิติแห่งชาติ
208,2561,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,51.64,พันคน,สำนักงานสถิติแห่งชาติ
209,2562,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,46.92,พันคน,สำนักงานสถิติแห่งชาติ
210,2562,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,58.20,พันคน,สำนักงานสถิติแห่งชาติ
211,2562,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,70.19,พันคน,สำนักงานสถิติแห่งชาติ
212,2562,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,46.00,พันคน,สำนักงานสถิติแห่งชาติ
213,2563,ไตรมาส 1,ภาคกลาง,ในเขตเทศบาล,61.95,พันคน,สำนักงานสถิติแห่งชาติ
214,2563,ไตรมาส 2,ภาคกลาง,ในเขตเทศบาล,128.34,พันคน,สำนักงานสถิติแห่งชาติ
215,2563,ไตรมาส 3,ภาคกลาง,ในเขตเทศบาล,115.02,พันคน,สำนักงานสถิติแห่งชาติ
216,2563,ไตรมาส 4,ภาคกลาง,ในเขตเทศบาล,104.38,พันคน,สำนักงานสถิติแห่งชาติ
217,2555,ไตรมาส 1,ภาคกลาง,นอกเขตเทศบาล,36.97,พันคน,สำนักงานสถิติแห่งชาติ
218,2555,ไตรมาส 2,ภาคกลาง,นอกเขตเทศบาล,45.45,พันคน,สำนักงานสถิติแห่งชาติ
219,2555,ไตรมาส 3,ภาคกลาง,นอกเขตเทศบาล,34.60,พันคน,สำนักงานสถิติแห่งชาติ
220,2555,ไตรมาส 4,ภาคกลาง,นอกเขตเทศบาล,34.14,พันคน,สำนักงานสถิติแห่งชาติ
